epoch,train_loss,val_loss,mIoU,Drivable_IoU,Pixel_Acc,lr
1,0.371237,0.361696,77.4804,68.4643,89.5577,0.00300000
2,0.337277,0.424995,78.2683,70.0919,89.7128,0.00299886
3,0.325683,0.362046,77.4851,67.8179,89.8896,0.00299542
4,0.319292,0.342637,80.3861,72.2938,91.1416,0.00298971
5,0.314692,0.391772,80.3038,72.5216,90.9360,0.00298172
6,0.310576,0.366319,80.4215,72.0430,91.3085,0.00297147
7,0.307609,0.400321,79.4869,71.6330,90.4073,0.00295897
8,0.302710,0.365275,81.9150,74.3324,91.9469,0.00294425
9,0.302455,0.340405,82.5233,75.2307,92.2217,0.00292732
10,0.300184,0.363683,80.6142,72.0392,91.5444,0.00290821
11,0.311479,0.394884,80.8085,73.0527,91.2706,0.00288696
12,0.305749,0.326208,82.1653,74.3439,92.2388,0.00286359
13,0.302516,0.369839,83.6737,76.6907,92.8536,0.00283814
14,0.303998,0.360523,80.6844,71.8884,91.7104,0.00281066
15,0.301451,0.305119,83.6079,76.3414,92.9503,0.00278117
16,0.299668,0.326083,83.4454,76.6387,92.6140,0.00274973
17,0.292955,0.354769,83.7425,76.8230,92.8692,0.00271639
18,0.298065,0.362750,84.5856,78.0567,93.2485,0.00268120
19,0.296251,0.295707,83.1150,76.0381,92.5200,0.00264420
20,0.288591,0.328668,81.5208,72.7096,92.3123,0.00260547
21,0.290844,0.298929,84.4000,77.6598,93.2263,0.00256505
22,0.290613,0.300747,83.9496,76.8529,93.0981,0.00252302
23,0.284119,0.321203,85.4810,79.1440,93.7565,0.00247943
24,0.288040,0.327809,83.2717,76.0772,92.6842,0.00243435
25,0.289085,0.280026,85.8604,79.5195,94.0139,0.00238786
26,0.283967,0.417040,84.5403,77.7821,93.3302,0.00234002
27,0.287935,0.294333,85.6936,79.3783,93.8887,0.00229091
28,0.281251,0.301193,86.2638,80.2089,94.1423,0.00224060
29,0.279843,0.303468,85.8178,79.4255,94.0111,0.00218918
30,0.282157,0.307665,85.8470,79.6755,93.9206,0.00213671
31,0.279094,0.274950,85.9231,79.5639,94.0655,0.00208328
32,0.284348,0.304244,86.1238,80.0484,94.0587,0.00202898
33,0.276993,0.333134,86.3732,80.4364,94.1573,0.00197389
34,0.278592,0.319079,86.3125,80.1673,94.2199,0.00191809
35,0.275913,0.301104,86.6975,80.8693,94.3203,0.00186167
36,0.277851,0.309510,85.8655,79.5127,94.0233,0.00180471
37,0.276156,0.315844,85.7041,79.3956,93.8923,0.00174731
38,0.274959,0.324882,85.5771,79.0009,93.9417,0.00168954
39,0.270691,0.356775,86.6498,80.7420,94.3276,0.00163151
40,0.271651,0.294904,86.8431,80.9839,94.4326,0.00157330
41,0.269401,0.294586,86.7236,80.7614,94.4041,0.00151500
42,0.267633,0.303461,87.3077,81.6921,94.6217,0.00145670
43,0.268954,0.289797,87.1005,81.3252,94.5626,0.00139849
44,0.271335,0.284766,86.9530,81.1018,94.5021,0.00134046
45,0.266967,0.277963,87.1471,81.4238,94.5679,0.00128269
46,0.267764,0.299285,87.0946,81.3012,94.5677,0.00122529
47,0.265900,0.294998,86.8556,80.9744,94.4519,0.00116833
48,0.265479,0.297598,87.2949,81.5435,94.6805,0.00111191
49,0.262739,0.321985,87.2822,81.3914,94.7427,0.00105611
50,0.264272,0.338106,86.9638,81.2101,94.4610,0.00100102
51,0.265963,0.289692,87.7611,82.2617,94.8653,0.00094672
52,0.264138,0.315340,87.1455,81.3523,94.6017,0.00089329
53,0.264118,0.298219,87.6108,81.9784,94.8317,0.00084082
54,0.262631,0.286908,87.6438,82.1052,94.8069,0.00078940
55,0.258226,0.294639,87.9242,82.5530,94.9101,0.00073909
56,0.263686,0.296926,87.8297,82.4107,94.8711,0.00068998
57,0.263547,0.302625,87.5223,81.8110,94.8123,0.00064214
58,0.259954,0.300084,88.0254,82.6542,94.9770,0.00059565
59,0.263499,0.278456,88.2928,82.9615,95.1345,0.00055057
60,0.255361,0.304754,88.2217,82.9479,95.0589,0.00050698
61,0.255101,0.310456,88.0768,82.6999,95.0140,0.00046495
62,0.260642,0.281103,88.4193,83.2101,95.1576,0.00042453
63,0.256802,0.300449,88.0728,82.6770,95.0207,0.00038580
64,0.256675,0.299385,88.2384,82.9355,95.0844,0.00034880
65,0.257730,0.302165,88.4722,83.3019,95.1733,0.00031361
66,0.254456,0.299761,88.2346,82.8837,95.1057,0.00028027
67,0.257464,0.308004,88.3352,83.0789,95.1253,0.00024883
68,0.252949,0.296443,88.5250,83.3292,95.2208,0.00021934
69,0.256116,0.290420,88.4315,83.1912,95.1810,0.00019186
70,0.253212,0.299571,88.5153,83.3319,95.2083,0.00016641
71,0.259378,0.294569,88.5479,83.3677,95.2282,0.00014304
72,0.259200,0.287889,88.4930,83.2995,95.1986,0.00012179
73,0.258596,0.295743,88.3467,83.1133,95.1216,0.00010268
74,0.253712,0.306324,88.3905,83.1091,95.1744,0.00008575
75,0.258200,0.302615,88.4088,83.1932,95.1538,0.00007103
76,0.255767,0.300072,88.3385,83.0612,95.1379,0.00005853
77,0.261291,0.298711,88.4497,83.2533,95.1714,0.00004828
78,0.264146,0.294105,88.4552,83.2211,95.1937,0.00004029
79,0.255323,0.302592,88.3688,83.1462,95.1308,0.00003458
80,0.261043,0.298389,88.3935,83.1993,95.1331,0.00003114
1,0.354962,0.426621,77.8916,69.4606,89.5679,0.00300000
